Date,AKDATA.Death,AKDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,1,0
2020-3-26,1,0
2020-3-27,1,0
2020-3-28,2,0
2020-3-29,2,0
2020-3-30,3,0
2020-3-31,3,0
2020-4-1,3,0
2020-4-2,3,0
2020-4-3,3,0
2020-4-4,5,0
2020-4-5,6,0
2020-4-6,6,0
2020-4-7,6,0
2020-4-8,7,0
2020-4-9,7,0
2020-4-10,7,0
2020-4-11,8,0
2020-4-12,8,0
2020-4-13,8,0
2020-4-14,9,0
2020-4-15,9,0
2020-4-16,9,0
2020-4-17,9,0
2020-4-18,9,0
2020-4-19,9,0
2020-4-20,9,0
2020-4-21,9,0
2020-4-22,9,0
2020-4-23,9,0
2020-4-24,9,0
2020-4-25,9,0
2020-4-26,9,0
2020-4-27,9,0
2020-4-28,9,0
2020-4-29,9,0
2020-4-30,9,0
2020-5-1,9,0
2020-5-2,9,0
2020-5-3,9,9
2020-5-4,9,9
2020-5-5,9,9
2020-5-6,10,10
2020-5-7,10,10
2020-5-8,10,10
2020-5-9,10,10
2020-5-10,10,10
2020-5-11,10,10
2020-5-12,10,10
2020-5-13,10,10
2020-5-14,10,10
2020-5-15,10,10
2020-5-16,10,10
2020-5-17,10,10
2020-5-18,10,10
2020-5-19,10,10
2020-5-20,10,10
2020-5-21,10,10
2020-5-22,10,10
2020-5-23,10,10
2020-5-24,10,10
2020-5-25,10,10
2020-5-26,10,10
2020-5-27,10,10
2020-5-28,10,10
2020-5-29,10,10
2020-5-30,10,10
2020-5-31,10,10
2020-6-1,10,10
2020-6-2,10,10
2020-6-3,10,10
2020-6-4,10,10
2020-6-5,10,10
2020-6-6,10,10
2020-6-7,10,10
2020-6-8,10,10
2020-6-9,11,11
2020-6-10,11,11
