Date,MNDATA.Death,MNDATA.DeathConfirmed
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,1,0
2020-3-22,1,0
2020-3-23,1,0
2020-3-24,1,0
2020-3-25,1,0
2020-3-26,2,0
2020-3-27,4,0
2020-3-28,5,0
2020-3-29,9,0
2020-3-30,10,0
2020-3-31,12,0
2020-4-1,17,0
2020-4-2,18,0
2020-4-3,22,0
2020-4-4,24,0
2020-4-5,29,0
2020-4-6,30,0
2020-4-7,34,0
2020-4-8,39,0
2020-4-9,50,0
2020-4-10,57,0
2020-4-11,64,0
2020-4-12,70,0
2020-4-13,70,0
2020-4-14,79,0
2020-4-15,87,0
2020-4-16,94,0
2020-4-17,111,0
2020-4-18,121,0
2020-4-19,134,0
2020-4-20,143,0
2020-4-21,160,0
2020-4-22,179,0
2020-4-23,200,0
2020-4-24,221,0
2020-4-25,244,0
2020-4-26,272,0
2020-4-27,286,0
2020-4-28,301,0
2020-4-29,319,0
2020-4-30,343,0
2020-5-1,371,0
2020-5-2,395,0
2020-5-3,419,419
2020-5-4,428,428
2020-5-5,455,455
2020-5-6,485,485
2020-5-7,508,508
2020-5-8,534,534
2020-5-9,558,558
2020-5-10,578,578
2020-5-11,591,591
2020-5-12,614,614
2020-5-13,638,638
2020-5-14,663,663
2020-5-15,692,683
2020-5-16,709,700
2020-5-17,731,722
2020-5-18,740,731
2020-5-19,757,748
2020-5-20,786,777
2020-5-21,818,809
2020-5-22,851,842
2020-5-23,861,852
2020-5-24,878,869
2020-5-25,890,881
2020-5-26,908,899
2020-5-27,942,932
2020-5-28,977,967
2020-5-29,1006,996
2020-5-30,1036,1026
2020-5-31,1050,1040
2020-6-1,1060,1050
2020-6-2,1082,1072
2020-6-3,1097,1086
2020-6-4,1126,1115
2020-6-5,1159,1148
2020-6-6,1181,1170
2020-6-7,1197,1186
2020-6-8,1208,1197
